week_no,natural_week_start,natural_week_end,target_representative_date,currency_pair,current_rate,current_status,verification_level,preferred_sources,collection_rule,recommended_query,notes,week_id,usd_cny_rate,source_date,source,record_status,source_note,evidence_file,ocr_review_file,selected_time_col
11,2026-03-09,2026-03-15,2026-03-13,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-03-13 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W11,6.8943,2026-03-13,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-05-review.md,20:00_or_rightmost_visible
12,2026-03-02,2026-03-08,2026-03-06,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-03-06 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W10,6.9073,2026-03-06,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-05-review.md,20:00_or_rightmost_visible
13,2026-02-23,2026-03-01,2026-02-27,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-02-27 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W09,6.8596,2026-02-27,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-06-review.md,20:00_or_rightmost_visible
14,2026-02-16,2026-02-22,2026-02-20,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-02-20 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W08,,,,,,,,
15,2026-02-09,2026-02-15,2026-02-13,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-02-13 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W07,6.9083,2026-02-13,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-06-review.md,20:00_or_rightmost_visible
16,2026-02-02,2026-02-08,2026-02-06,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-02-06 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W06,6.9385,2026-02-06,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-06-review.md,20:00_or_rightmost_visible
17,2026-01-26,2026-02-01,2026-01-30,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-01-30 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W05,6.9494,2026-01-30,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-07-review.md,20:00_or_rightmost_visible
18,2026-01-19,2026-01-25,2026-01-23,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-01-23 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W04,6.9634,2026-01-23,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-07-review.md,20:00_or_rightmost_visible
19,2026-01-12,2026-01-18,2026-01-16,USD/CNY,,pending_collection,B_screenshot_ocr_header_inferred,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-01-16 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W03,6.9694,2026-01-16,中国外汇交易中心历史参考汇率截图OCR,filled_from_user_long_screenshot_ocr,用户提供最近半年汇率变化长图；按自然周最后可见交易日选取，优先20:00/右侧可见列。建议后续抽样复核。,output/半年汇率表.png,fx-screenshot-small-slices/fx-slice-07-review.md,20:00_or_rightmost_visible
20,2026-01-05,2026-01-11,2026-01-09,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-01-09 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W02,,,,,,,,
21,2025-12-29,2026-01-04,2026-01-02,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-01-02 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2026-W01,,,,,,,,
22,2025-12-22,2025-12-28,2025-12-26,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2025-12-26 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2025-W52,,,,,,,,
23,2025-12-15,2025-12-21,2025-12-19,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2025-12-19 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2025-W51,,,,,,,,
24,2025-12-08,2025-12-14,2025-12-12,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2025-12-12 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2025-W50,,,,,,,,
25,2025-12-01,2025-12-07,2025-12-05,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2025-12-05 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2025-W49,,,,,,,,
26,2025-11-24,2025-11-30,2025-11-28,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2025-11-28 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,2025-W48,,,,,,,,
