week_no,natural_week_start,natural_week_end,target_representative_date,currency_pair,current_rate,current_status,verification_level,preferred_sources,collection_rule,recommended_query,notes,demo_rate,demo_data_quality_level,demo_record_status,demo_source,demo_notes
11,2026-03-09,2026-03-15,2026-03-13,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-03-13 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.1755,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
12,2026-03-02,2026-03-08,2026-03-06,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-03-06 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.143,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
13,2026-02-23,2026-03-01,2026-02-27,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-02-27 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.1525,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
14,2026-02-16,2026-02-22,2026-02-20,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-02-20 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.15,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
15,2026-02-09,2026-02-15,2026-02-13,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-02-13 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.1475,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
16,2026-02-02,2026-02-08,2026-02-06,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-02-06 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.163,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
17,2026-01-26,2026-02-01,2026-01-30,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-01-30 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.1425,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
18,2026-01-19,2026-01-25,2026-01-23,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-01-23 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.14,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
19,2026-01-12,2026-01-18,2026-01-16,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-01-16 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.1255,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
20,2026-01-05,2026-01-11,2026-01-09,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-01-09 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.135,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
21,2025-12-29,2026-01-04,2026-01-02,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2026-01-02 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.1505,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
22,2025-12-22,2025-12-28,2025-12-26,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2025-12-26 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.13,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
23,2025-12-15,2025-12-21,2025-12-19,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2025-12-19 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.1275,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
24,2025-12-08,2025-12-14,2025-12-12,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2025-12-12 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.125,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
25,2025-12-01,2025-12-07,2025-12-05,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2025-12-05 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.1225,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
26,2025-11-24,2025-11-30,2025-11-28,USD/CNY,,pending_collection,PENDING,SAFE人民币汇率中间价; ChinaMoney; 银行公开牌价/中间价表,优先取自然周最后一个交易日；周五无数据则取该周最后可用交易日；禁止用模拟值覆盖真实主表,2025-11-28 USD CNY 中间价 国家外汇管理局 人民币汇率,待补官方或公开可复核来源,7.126,C_demo_simulated,demo_completed_not_for_formal_analysis,mvp_simulated_pending_official_replace,演示补全：来自MVP模拟序列，不得用于正式结论；待官方替换。
