date,natural_week_start,scenario_code,scenario_name_cn,route_group,base_freight_column,base_freight_usd_per_feu,surcharge_usd_per_feu,total_cost_usd_per_feu,fx_rate_demo,total_cost_cny_per_feu,fx_source_layer,fx_is_demo_filled,data_layer,official_rate_usable,scenario_description
2026-02-06,2026-02-02,BASE_USWC,美西基础场景,USWC,美西航线,1801.0,836.5,2637.5,6.9385,18300.29,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-02-13,2026-02-09,BASE_USWC,美西基础场景,USWC,美西航线,1787.0,836.5,2623.5,6.9083,18123.93,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-02-20,2026-02-16,BASE_USWC,美西基础场景,USWC,美西航线,1902.5,836.5,2739.0,6.884,18855.14,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-02-27,2026-02-23,BASE_USWC,美西基础场景,USWC,美西航线,2018.0,836.5,2854.5,6.8596,19580.73,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-03-06,2026-03-02,BASE_USWC,美西基础场景,USWC,美西航线,2133.5,836.5,2970.0,6.9073,20514.68,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-03-13,2026-03-09,BASE_USWC,美西基础场景,USWC,美西航线,2249.0,836.5,3085.5,6.8943,21272.36,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-03-20,2026-03-16,BASE_USWC,美西基础场景,USWC,美西航线,2054.0,836.5,2890.5,6.8898,19914.97,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-03-27,2026-03-23,BASE_USWC,美西基础场景,USWC,美西航线,2220.0,836.5,3056.5,6.9125,21128.06,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-04-03,2026-03-30,BASE_USWC,美西基础场景,USWC,美西航线,2386.0,836.5,3222.5,6.8806,22172.73,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-04-10,2026-04-06,BASE_USWC,美西基础场景,USWC,美西航线,2552.0,836.5,3388.5,6.8283,23137.69,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-04-17,2026-04-13,BASE_USWC,美西基础场景,USWC,美西航线,2612.0,836.5,3448.5,6.8224,23527.05,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-04-24,2026-04-20,BASE_USWC,美西基础场景,USWC,美西航线,2586.0,836.5,3422.5,6.833,23385.94,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-05-01,2026-04-27,BASE_USWC,美西基础场景,USWC,美西航线,2706.0,836.5,3542.5,6.8288,24191.02,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-05-08,2026-05-04,BASE_USWC,美西基础场景,USWC,美西航线,2826.0,836.5,3662.5,6.8316,25020.86,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-05-15,2026-05-11,BASE_USWC,美西基础场景,USWC,美西航线,3118.0,836.5,3954.5,6.8345,27026.9,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2026-05-22,2026-05-18,BASE_USWC,美西基础场景,USWC,美西航线,3154.0,836.5,3990.5,6.8373,27284.25,A,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美西报价演示：基础常见费用，不启用条件性风险项
2025-11-28,2025-11-24,BASE_USEC,美东基础场景,USEC,美东航线,2428.0,836.5,3264.5,6.9694,22751.61,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2025-12-05,2025-12-01,BASE_USEC,美东基础场景,USEC,美东航线,2315.0,836.5,3151.5,6.9694,21964.06,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2025-12-12,2025-12-08,BASE_USEC,美东基础场景,USEC,美东航线,2580.5,836.5,3417.0,6.9694,23814.44,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2025-12-19,2025-12-15,BASE_USEC,美东基础场景,USEC,美东航线,2846.0,836.5,3682.5,6.9694,25664.82,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2025-12-26,2025-12-22,BASE_USEC,美东基础场景,USEC,美东航线,3033.0,836.5,3869.5,6.9694,26968.09,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-01-02,2025-12-29,BASE_USEC,美东基础场景,USEC,美东航线,2998.75,836.5,3835.25,6.9694,26729.39,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-01-09,2026-01-05,BASE_USEC,美东基础场景,USEC,美东航线,2964.5,836.5,3801.0,6.9694,26490.69,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-01-16,2026-01-12,BASE_USEC,美东基础场景,USEC,美东航线,2930.25,836.5,3766.75,6.9694,26251.99,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-01-23,2026-01-19,BASE_USEC,美东基础场景,USEC,美东航线,2896.0,836.5,3732.5,6.9634,25990.89,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-01-30,2026-01-26,BASE_USEC,美东基础场景,USEC,美东航线,2605.0,836.5,3441.5,6.9494,23916.36,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-02-06,2026-02-02,BASE_USEC,美东基础场景,USEC,美东航线,2530.0,836.5,3366.5,6.9385,23358.46,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-02-13,2026-02-09,BASE_USEC,美东基础场景,USEC,美东航线,2524.0,836.5,3360.5,6.9083,23215.34,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-02-20,2026-02-16,BASE_USEC,美东基础场景,USEC,美东航线,2670.75,836.5,3507.25,6.884,24143.73,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-02-27,2026-02-23,BASE_USEC,美东基础场景,USEC,美东航线,2817.5,836.5,3654.0,6.8596,25064.98,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-03-06,2026-03-02,BASE_USEC,美东基础场景,USEC,美东航线,2964.25,836.5,3800.75,6.9073,26252.92,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-03-13,2026-03-09,BASE_USEC,美东基础场景,USEC,美东航线,3111.0,836.5,3947.5,6.8943,27215.25,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-03-20,2026-03-16,BASE_USEC,美东基础场景,USEC,美东航线,2922.0,836.5,3758.5,6.8898,25895.31,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-03-27,2026-03-23,BASE_USEC,美东基础场景,USEC,美东航线,3120.67,836.5,3957.17,6.9125,27353.91,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-04-03,2026-03-30,BASE_USEC,美东基础场景,USEC,美东航线,3319.33,836.5,4155.83,6.8806,28594.63,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-04-10,2026-04-06,BASE_USEC,美东基础场景,USEC,美东航线,3518.0,836.5,4354.5,6.8283,29733.83,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-04-17,2026-04-13,BASE_USEC,美东基础场景,USEC,美东航线,3584.0,836.5,4420.5,6.8224,30158.42,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-04-24,2026-04-20,BASE_USEC,美东基础场景,USEC,美东航线,3570.0,836.5,4406.5,6.833,30109.61,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-05-01,2026-04-27,BASE_USEC,美东基础场景,USEC,美东航线,3691.0,836.5,4527.5,6.8288,30917.39,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-05-08,2026-05-04,BASE_USEC,美东基础场景,USEC,美东航线,3812.0,836.5,4648.5,6.8316,31756.85,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-05-15,2026-05-11,BASE_USEC,美东基础场景,USEC,美东航线,4224.0,836.5,5060.5,6.8345,34585.82,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2026-05-22,2026-05-18,BASE_USEC,美东基础场景,USEC,美东航线,4313.0,836.5,5149.5,6.8373,35208.68,A,False,demo_cost_model_with_C_market_reference_surcharge,False,普通美东报价演示：基础常见费用，不启用条件性风险项
2025-11-28,2025-11-24,STRESS_USWC,美西压力场景,USWC,美西航线,1632.0,2111.5,3743.5,6.9694,26089.95,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2025-12-05,2025-12-01,STRESS_USWC,美西压力场景,USWC,美西航线,1550.0,2111.5,3661.5,6.9694,25518.46,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2025-12-12,2025-12-08,STRESS_USWC,美西压力场景,USWC,美西航线,1771.0,2111.5,3882.5,6.9694,27058.7,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2025-12-19,2025-12-15,STRESS_USWC,美西压力场景,USWC,美西航线,1992.0,2111.5,4103.5,6.9694,28598.93,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2025-12-26,2025-12-22,STRESS_USWC,美西压力场景,USWC,美西航线,2188.0,2111.5,4299.5,6.9694,29964.94,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-01-02,2025-12-29,STRESS_USWC,美西压力场景,USWC,美西航线,2162.0,2111.5,4273.5,6.9694,29783.73,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-01-09,2026-01-05,STRESS_USWC,美西压力场景,USWC,美西航线,2136.0,2111.5,4247.5,6.9694,29602.53,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-01-16,2026-01-12,STRESS_USWC,美西压力场景,USWC,美西航线,2110.0,2111.5,4221.5,6.9694,29421.32,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-01-23,2026-01-19,STRESS_USWC,美西压力场景,USWC,美西航线,2084.0,2111.5,4195.5,6.9634,29214.94,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-01-30,2026-01-26,STRESS_USWC,美西压力场景,USWC,美西航线,1867.0,2111.5,3978.5,6.9494,27648.19,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-02-06,2026-02-02,STRESS_USWC,美西压力场景,USWC,美西航线,1801.0,2111.5,3912.5,6.9385,27146.88,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-02-13,2026-02-09,STRESS_USWC,美西压力场景,USWC,美西航线,1787.0,2111.5,3898.5,6.9083,26932.01,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-02-20,2026-02-16,STRESS_USWC,美西压力场景,USWC,美西航线,1902.5,2111.5,4014.0,6.884,27632.18,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-02-27,2026-02-23,STRESS_USWC,美西压力场景,USWC,美西航线,2018.0,2111.5,4129.5,6.8596,28326.72,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-03-06,2026-03-02,STRESS_USWC,美西压力场景,USWC,美西航线,2133.5,2111.5,4245.0,6.9073,29321.49,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-03-13,2026-03-09,STRESS_USWC,美西压力场景,USWC,美西航线,2249.0,2111.5,4360.5,6.8943,30062.6,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-03-20,2026-03-16,STRESS_USWC,美西压力场景,USWC,美西航线,2054.0,2111.5,4165.5,6.8898,28699.46,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-03-27,2026-03-23,STRESS_USWC,美西压力场景,USWC,美西航线,2220.0,2111.5,4331.5,6.9125,29941.49,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-04-03,2026-03-30,STRESS_USWC,美西压力场景,USWC,美西航线,2386.0,2111.5,4497.5,6.8806,30945.5,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-04-10,2026-04-06,STRESS_USWC,美西压力场景,USWC,美西航线,2552.0,2111.5,4663.5,6.8283,31843.78,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-04-17,2026-04-13,STRESS_USWC,美西压力场景,USWC,美西航线,2612.0,2111.5,4723.5,6.8224,32225.61,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-04-24,2026-04-20,STRESS_USWC,美西压力场景,USWC,美西航线,2586.0,2111.5,4697.5,6.833,32098.02,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-05-01,2026-04-27,STRESS_USWC,美西压力场景,USWC,美西航线,2706.0,2111.5,4817.5,6.8288,32897.74,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-05-08,2026-05-04,STRESS_USWC,美西压力场景,USWC,美西航线,2826.0,2111.5,4937.5,6.8316,33731.19,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-05-15,2026-05-11,STRESS_USWC,美西压力场景,USWC,美西航线,3118.0,2111.5,5229.5,6.8345,35740.84,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-05-22,2026-05-18,STRESS_USWC,美西压力场景,USWC,美西航线,3154.0,2111.5,5265.5,6.8373,36001.8,A,False,demo_cost_model_with_C_market_reference_surcharge,False,美西压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2025-11-28,2025-11-24,STRESS_USEC,美东压力场景,USEC,美东航线,2428.0,2111.5,4539.5,6.9694,31637.59,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2025-12-05,2025-12-01,STRESS_USEC,美东压力场景,USEC,美东航线,2315.0,2111.5,4426.5,6.9694,30850.05,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2025-12-12,2025-12-08,STRESS_USEC,美东压力场景,USEC,美东航线,2580.5,2111.5,4692.0,6.9694,32700.42,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2025-12-19,2025-12-15,STRESS_USEC,美东压力场景,USEC,美东航线,2846.0,2111.5,4957.5,6.9694,34550.8,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2025-12-26,2025-12-22,STRESS_USEC,美东压力场景,USEC,美东航线,3033.0,2111.5,5144.5,6.9694,35854.08,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-01-02,2025-12-29,STRESS_USEC,美东压力场景,USEC,美东航线,2998.75,2111.5,5110.25,6.9694,35615.38,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-01-09,2026-01-05,STRESS_USEC,美东压力场景,USEC,美东航线,2964.5,2111.5,5076.0,6.9694,35376.67,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-01-16,2026-01-12,STRESS_USEC,美东压力场景,USEC,美东航线,2930.25,2111.5,5041.75,6.9694,35137.97,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-01-23,2026-01-19,STRESS_USEC,美东压力场景,USEC,美东航线,2896.0,2111.5,5007.5,6.9634,34869.23,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-01-30,2026-01-26,STRESS_USEC,美东压力场景,USEC,美东航线,2605.0,2111.5,4716.5,6.9494,32776.85,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-02-06,2026-02-02,STRESS_USEC,美东压力场景,USEC,美东航线,2530.0,2111.5,4641.5,6.9385,32205.05,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-02-13,2026-02-09,STRESS_USEC,美东压力场景,USEC,美东航线,2524.0,2111.5,4635.5,6.9083,32023.42,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-02-20,2026-02-16,STRESS_USEC,美东压力场景,USEC,美东航线,2670.75,2111.5,4782.25,6.884,32920.77,demo_interpolation_fill,True,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-02-27,2026-02-23,STRESS_USEC,美东压力场景,USEC,美东航线,2817.5,2111.5,4929.0,6.8596,33810.97,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-03-06,2026-03-02,STRESS_USEC,美东压力场景,USEC,美东航线,2964.25,2111.5,5075.75,6.9073,35059.73,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-03-13,2026-03-09,STRESS_USEC,美东压力场景,USEC,美东航线,3111.0,2111.5,5222.5,6.8943,36005.48,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-03-20,2026-03-16,STRESS_USEC,美东压力场景,USEC,美东航线,2922.0,2111.5,5033.5,6.8898,34679.81,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-03-27,2026-03-23,STRESS_USEC,美东压力场景,USEC,美东航线,3120.67,2111.5,5232.17,6.9125,36167.35,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-04-03,2026-03-30,STRESS_USEC,美东压力场景,USEC,美东航线,3319.33,2111.5,5430.83,6.8806,37367.39,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-04-10,2026-04-06,STRESS_USEC,美东压力场景,USEC,美东航线,3518.0,2111.5,5629.5,6.8283,38439.91,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
2026-04-17,2026-04-13,STRESS_USEC,美东压力场景,USEC,美东航线,3584.0,2111.5,5695.5,6.8224,38856.98,B_screenshot_ocr_header_inferred,False,demo_cost_model_with_C_market_reference_surcharge,False,美东压力测试：基础费用+旺季/拥堵/紧急燃油/缺箱/战争风险，不含巴拿马
