date,scfi_index,europe_usd_teu,mediterranean_usd_teu,us_west_usd_feu,us_east_usd_feu,source_type,source_url,source_note,data_quality_level,is_estimated,record_status,missing_reason,demo_scfi_index,demo_europe_usd_teu,demo_mediterranean_usd_teu,demo_us_west_usd_feu,demo_us_east_usd_feu,demo_data_quality_level,demo_record_status,demo_notes
2026-03-20,1706.95,1636.0,,2054.0,2922.0,legacy_public_clue_needs_source_recheck,https://stock.10jqka.com.cn/usstock/20260323/c675474178.shtml,同花顺财经/国际船舶网转载，称根据上海航交所3月20日发布数据,B_pending_source_recheck,False,legacy_value_pending_source_recheck,旧记录已有数值但来源证据链待回查；按新规则保留为待复核B-线索,1706.95,1636.0,2351.4444444444443,2054.0,2922.0,B_pending_source_recheck,legacy_value_pending_source_recheck,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-03-27,,,,,,placeholder,,占位行，不得作为真实数据参与分析,PENDING,False,placeholder_pending,未搜到可保存正文/截图证据的公开数据；保留占位，待逐周补采,1768.2233333333334,1606.3333333333333,2386.3333333333335,2220.0,3120.6666666666665,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-04-03,,,,,,placeholder,,占位行，不得作为真实数据参与分析,PENDING,False,placeholder_pending,未搜到可保存正文/截图证据的公开数据；保留占位，待逐周补采,1829.4966666666667,1576.6666666666667,2421.222222222222,2386.0,3319.3333333333335,C_demo_interpolated,demo_interpolated_not_for_formal_analysis,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-04-10,1890.77,1547.0,,2552.0,3518.0,legacy_public_clue_needs_source_recheck,https://www.wedoany.com/shortnews/140612.html,维度网转载，称根据上海航交所4月10日发布数据,B_pending_source_recheck,False,legacy_value_pending_source_recheck,旧记录已有数值但来源证据链待回查；按新规则保留为待复核B-线索,1890.77,1547.0,2456.1111111111113,2552.0,3518.0,B_pending_source_recheck,legacy_value_pending_source_recheck,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-04-17,1886.54,1501.0,2491.0,2612.0,3584.0,public_excerpt_batch_01,https://www.bing.com/search?q=2026-04-17%20SCFI%201886.54%20%E6%AC%A7%E6%B4%B2%201501%20%E5%9C%B0%E4%B8%AD%E6%B5%B7%202491%20%E7%BE%8E%E8%A5%BF%202612%20%E7%BE%8E%E4%B8%9C%203584,按自然周多源分层治理口径，由batch-01公开摘录草稿补入；已有明确数值但尚待打开原文/截图二次核验，不能等同官方A。,B_pending_original_text,False,collected_public_excerpt_pending_original_text,原文/截图待补；如分航线为空则该字段未在公开摘录中出现,1886.54,1501.0,2491.0,2612.0,3584.0,B_pending_original_text,collected_public_excerpt_pending_original_text,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-04-24,1875.26,1497.0,2420.0,2586.0,3570.0,public_excerpt_batch_01,https://www.bing.com/search?q=2026-04-24%20SCFI%201875.26%20%E6%AC%A7%E6%B4%B2%201497%20%E5%9C%B0%E4%B8%AD%E6%B5%B7%202420%20%E7%BE%8E%E8%A5%BF%202586%20%E7%BE%8E%E4%B8%9C%203570%20CCFI%201233.76,按自然周多源分层治理口径，由batch-01公开摘录草稿补入；已有明确数值但尚待打开原文/截图二次核验，不能等同官方A。,B_pending_original_text,False,collected_public_excerpt_pending_original_text,原文/截图待补；如分航线为空则该字段未在公开摘录中出现,1875.26,1497.0,2420.0,2586.0,3570.0,B_pending_original_text,collected_public_excerpt_pending_original_text,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-05-01,1911.4,,,,,public_excerpt_batch_01,https://www.bing.com/search?q=2026-04-30%202026-05-01%20SCFI%201911.40%20CCFI%201269.64,按自然周多源分层治理口径，由batch-01公开摘录草稿补入；已有明确数值但尚待打开原文/截图二次核验，不能等同官方A。 本周仅补SCFI综合指数，分航线缺失保留NA/PENDING。,B_pending_original_text,False,collected_public_excerpt_pending_original_text,原文/截图待补；如分航线为空则该字段未在公开摘录中出现,1911.4,1546.5,2441.5,2706.0,3691.0,B_pending_original_text,collected_public_excerpt_pending_original_text,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-05-08,1954.21,1596.0,2463.0,2826.0,3812.0,public_excerpt_batch_01,https://www.bing.com/search?q=2026-05-08%20SCFI%201954.21%20%E6%AC%A7%E6%B4%B2%201596%20%E5%9C%B0%E4%B8%AD%E6%B5%B7%202463%20%E7%BE%8E%E8%A5%BF%202826%20%E7%BE%8E%E4%B8%9C%203812%20%E5%8D%97%E7%BE%8E%203303%20%E6%B3%A2%E6%96%AF%E6%B9%BE%203925,按自然周多源分层治理口径，由batch-01公开摘录草稿补入；已有明确数值但尚待打开原文/截图二次核验，不能等同官方A。,B_pending_original_text,False,collected_public_excerpt_pending_original_text,原文/截图待补；如分航线为空则该字段未在公开摘录中出现,1954.21,1596.0,2463.0,2826.0,3812.0,B_pending_original_text,collected_public_excerpt_pending_original_text,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-05-15,2140.66,1816.0,3145.0,3118.0,4224.0,official_single_page_table_for_composite_plus_unverified_public_route_clues,archive: canglu-radar/01-raw-data/collection-reports/archive/old-reports/sse_single_scfi_2026-05-15_table_0.csv,官方归档表可核验综合指数2140.66；分航线值来自batch-01公开摘录/搜索摘要，存在美西3116/3188冲突，待原文或截图核验。,A(composite_only)/B_pending_original_text(route_values),False,partial_composite_verified_routes_public_excerpt_pending,分航线原文/截图待补，美西值存在冲突,2140.66,1816.0,3145.0,3118.0,4224.0,A(composite_only)/B_pending_original_text(route_values),partial_composite_verified_routes_public_excerpt_pending,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
2026-05-22,2218.15,1905.0,3207.0,3154.0,4313.0,official_single_page_plus_public_repost,http://wap.eworldship.com/index.php/eworldship/news/article?id=221068 ; https://cj.sina.cn/article/norm_detail?url=https%3A%2F%2Ffinance.sina.com.cn%2Fwm%2F2026-05-26%2Fdoc-inhzfmym2256299.shtml,国际船舶网/新浪财经转引上海航交所2026-05-22 SCFI：综合2218.15，美西3154，美东4313，欧洲1905，地中海3207；非官方多期批量下载,A/B,False,partial_or_complete_collected,,2218.15,1905.0,3207.0,3154.0,4313.0,A/B,partial_or_complete_collected,演示补全版：真实/公开值原样保留；缺失数值用线性插值补齐，仅用于流程展示和覆盖率演示，不得用于正式结论。
